FLY_GENE1	FLY_GENE2	PMID_METHOD	INTERACTION_PUBMEDS	PUBMEDURL	INTERACTION_DETECT_METHODS	INTERACTION_SOURCE	DATE_LAST_UPDATED	DATA_VERSION	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	DATA_SOURCE_URL
FBgn0000635	FBgn0041164	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Fas2	armi	pp	
FBgn0037632	FBgn0053113	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Tcp-1?	Rtnl1	pp	
FBgn0000635	FBgn0022786	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Fas2	Hira	pp	
FBgn0261560	FBgn0264691	22068330(MI:0007(anti tag coimmunoprecipitation))	22068330	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=22068330&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Thor	Lst8	pp	
FBgn0051613	FBgn0250786	21177652(MI:0686(unspecified method))	21177652	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21177652&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	His3:CG31613	Chd1	pp	
FBgn0022764	FBgn0031377	19782028(MI:0004(affinity chromatography technology))	19782028	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19782028&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Sin3A	CG15356	pp	
FBgn0000392	FBgn0004419	14723848(MI:0019(coimmunoprecipitation))	14723848	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14723848&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	cup	me31B	pp	
FBgn0013263	FBgn0022238	12834867(MI:0018(two hybrid),MI:0096(pull down),MI:0018(2 hybrid),MI:0004(affinity chromatography technology)),12556479(MI:0019(coimmunoprecipitation),MI:0019(coip),MI:0018(2 hybrid),MI:0018(two hybrid)),unassigned4(MI:0045(experimental interaction detection))	12834867,12556479,unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12834867,12556479,unassigned4&dopt=DocSum		IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	Trl	lolal	pp	
FBgn0039044	FBgn0261570	20308539(MI:0004(affinity chromatography technology))	20308539	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20308539&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	p53	CG42684	pp	
FBgn0002924	FBgn0003887	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	ncd	?Tub56D	pp	
FBgn0027951	FBgn0262519	20733004(MI:0006(anti bait coimmunoprecipitation))	20733004	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20733004&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	MTA1-like	Mi-2	pp	
FBgn0010583	FBgn0040475	11773052(MI:0004(affinity chromatography technology),MI:0018(two hybrid))	11773052	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11773052&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	dock	SH3PX1	pp	
FBgn0010382	FBgn0024371	12881421(MI:0686(unspecified method))	12881421	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12881421&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	CycE	E2f2	pp	
FBgn0020510	FBgn0024273	16155589(MI:0018(2 hybrid),MI:0004(affinity chromatography technology),MI:0019(coip)),12900458(MI:0018(two hybrid))	16155589,12900458	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=16155589,12900458&dopt=DocSum		BIND-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	Abi	WASp	pp	
FBgn0005617	FBgn0014340	unassigned4(MI:0045(experimental interaction detection)),21217699(MI:0004(affinity chromatography technology)),23084835(MI:0004(affinity chromatography technology)),10619853(MI:0096(pull down))	unassigned4,21217699,23084835,10619853	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,21217699,23084835,10619853&dopt=DocSum		IntAct-24-JAN-13,BioGRID-24-JAN-13	04-FEB-13	2013_02	msl-1	mof	pp	
FBgn0003346	FBgn0263979	19782028(MI:0004(affinity chromatography technology))	19782028	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19782028&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	RanGap	Caf1	pp	
FBgn0003079	FBgn0040206	20802461(MI:0007(anti tag coimmunoprecipitation))	20802461	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20802461&dopt=DocSum		MINT-24-JAN-13	04-FEB-13	2013_02	phl	krz	pp	
FBgn0003607	FBgn0053866	12897054(MI:0053(fluorescence polarization spectroscopy))	12897054	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12897054&dopt=DocSum		MINT-24-JAN-13	04-FEB-13	2013_02	Su(var)205	His3:CG33866	pp	
FBgn0263143	FBgn0263143	21863019(MI:0007(anti tag coimmunoprecipitation))	21863019	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21863019&dopt=DocSum		MINT-24-JAN-13	04-FEB-13	2013_02	vret	vret	pp	
FBgn0011829	FBgn0053113	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Ret	Rtnl1	pp	
FBgn0037344	FBgn0053113	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	CG2926	Rtnl1	pp	
FBgn0003042	FBgn0051613	unassigned4(MI:0045(experimental interaction detection)),17210640(MI:0047(far western blotting))	unassigned4,17210640	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,17210640&dopt=DocSum		IntAct-24-JAN-13,BioGRID-24-JAN-13	04-FEB-13	2013_02	Pc	His3:CG31613	pp	
FBgn0002914	FBgn0003525	11847115(MI:0686(unspecified method))	11847115	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11847115&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	Myb	stg	pp	
FBgn0011604	FBgn0027620	11447119(MI:0004(affinity chromatography technology),MI:0096(pull down),MI:0686(unspecified method)),10385622(MI:0096(pull down),MI:0686(unspecified method)),unassigned4(MI:0045(experimental interaction detection)),12192034(MI:0096(pull down)),16025127(MI:0071(molecular sieving),MI:0045(experimental interac))	11447119,10385622,unassigned4,12192034,16025127	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11447119,10385622,unassigned4,12192034,16025127&dopt=DocSum		BioGRID-24-JAN-13,IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	Iswi	Acf1	pp	
FBgn0033539	FBgn0263979	19782028(MI:0004(affinity chromatography technology))	19782028	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19782028&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Git	Caf1	pp	
FBgn0024222	FBgn0024222	10636911(MI:0423(in-gel kinase assay))	10636911	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=10636911&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	ird5	ird5	pp	
FBgn0004009	FBgn0016797	unassigned4(MI:0045(experimental interaction detection)),9671581(MI:0686(unspecified method))	unassigned4,9671581	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,9671581&dopt=DocSum		IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	wg	fz2	pp	
FBgn0022023	FBgn0039668	20068067(MI:0096(pull down))	20068067	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20068067&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	eIF-3p40	Trc8	pp	
FBgn0003044	FBgn0053910	17762866(MI:0676(tandem affinity purification))	17762866	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=17762866&dopt=DocSum		MINT-24-JAN-13	04-FEB-13	2013_02	Pcl	His2B:CG33910	pp	
FBgn0002914	FBgn0033846	12490953(MI:0019(coimmunoprecipitation))	12490953	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12490953&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Myb	mip120	pp	
FBgn0003044	FBgn0015805	12697833(MI:0004(affinity chromatography technology),MI:0096(pull down),MI:0006(anti bait coimmunoprecipitation))	12697833	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12697833&dopt=DocSum		BioGRID-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	Pcl	Rpd3	pp	
FBgn0002633	FBgn0002733	9371806(MI:0018(two hybrid))	9371806	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=9371806&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	E(spl)m7-HLH	E(spl)m?-HLH	pp	
FBgn0000183	FBgn0000319	20111007(MI:0006(anti bait coimmunoprecipitation),MI:0007(anti tag coimmunoprecipitation),MI:0018(two hybrid))	20111007	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20111007&dopt=DocSum		MINT-24-JAN-13	04-FEB-13	2013_02	BicD	Chc	pp	
FBgn0000711	FBgn0015600	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	flw	toc	pp	
FBgn0034258	FBgn0037249	17392269(MI:0029(cosedimentation through density gradient))	17392269	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=17392269&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	eIF3-S8	eIF3-S10	pp	
FBgn0000042	FBgn0026084	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Act5C	cib	pp	
FBgn0024332	FBgn0025815	11726693(MI:0006(anti bait coimmunoprecipitation))	11726693	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11726693&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Mcm3	Mcm6	pp	
FBgn0001215	FBgn0010247	17827147(MI:0004(affinity chromatography technology)),19346337(MI:0004(affinity chromatography technology))	17827147,19346337	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=17827147,19346337&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Hrb98DE	Parp	pp	
FBgn0015270	FBgn0022772	16188887(MI:0004(affinity chromatography technology))	16188887	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=16188887&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Orc2	Orc1	pp	
FBgn0019972	FBgn0026404	10675329(MI:0096(pull down),MI:0018(2 hybrid),MI:0019(coip),MI:0045(experimental interac),MI:0686(unspecified method),MI:0018(two hybrid),MI:0019(coimmunoprecipitation)),20700104(MI:0435(protease assay)),unassigned4(MI:0045(experimental interaction detection))	10675329,20700104,unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=10675329,20700104,unassigned4&dopt=DocSum		BioGRID-24-JAN-13,BIND-24-JAN-13,MINT-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	Ice	Nc	pp	
FBgn0003371	FBgn0040283	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	sgg	SMC1	pp	
FBgn0004597	FBgn0015618	17290221(MI:0018(two hybrid),MI:0096(pull down)),8730095(MI:0096(pull down),MI:0004(affinity chromatography technology)),unassigned4(MI:0045(experimental interaction detection))	17290221,8730095,unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=17290221,8730095,unassigned4&dopt=DocSum		MINT-24-JAN-13,BioGRID-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	CycC	Cdk8	pp	
FBgn0000439	FBgn0260635	12202035(MI:0686(unspecified method))	12202035	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12202035&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	Dfd	th	pp	
FBgn0021825	FBgn0263456	18701694(MI:0004(affinity chromatography technology))	18701694	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18701694&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Dmn	nwk	pp	
FBgn0011259	FBgn0039776	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Sema-1a	PH4?EFB	pp	
FBgn0002940	FBgn0019940	10594055(MI:0686(unspecified method))	10594055	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=10594055&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	ninaE	Rh6	pp	
FBgn0261268	FBgn0261560	22068330(MI:0007(anti tag coimmunoprecipitation))	22068330	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=22068330&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Cul-3	Thor	pp	
FBgn0024846	FBgn0261524	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	p38b	lic	pp	
FBgn0003731	FBgn0003984	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Egfr	vn	pp	
FBgn0011710	FBgn0013726	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Sep1	pnut	pp	
FBgn0026238	FBgn0262526	16498413(MI:0065(isothermal titration calorimetry),MI:0096(pull down)),unassigned4(MI:0045(experimental interaction detection))	16498413,unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=16498413,unassigned4&dopt=DocSum		MINT-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	gus	vas	pp	
FBgn0003277	FBgn0004855	12021283(MI:0007(anti tag coimmunoprecipitation))	12021283	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12021283&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	RpII215	RpII15	pp	
FBgn0000137	FBgn0002735	9371806(MI:0018(two hybrid))	9371806	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=9371806&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	ase	E(spl)m?-HLH	pp	
FBgn0000411	FBgn0004394	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	D	pdm2	pp	
FBgn0015268	FBgn0031377	19782028(MI:0004(affinity chromatography technology))	19782028	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19782028&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Nap1	CG15356	pp	
FBgn0002914	FBgn0004106	11847115(MI:0686(unspecified method))	11847115	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11847115&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	Myb	cdc2	pp	
FBgn0003371	FBgn0051618	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	sgg	His2A:CG31618	pp	
FBgn0002715	FBgn0003124	15621529(MI:0004(affinity chromatography technology))	15621529	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15621529&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	mei-S332	polo	pp	
FBgn0003295	FBgn0004635	10887159(MI:0686(unspecified method))	10887159	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=10887159&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	ru	rho	pp	
FBgn0001624	FBgn0015838	unassigned4(MI:0045(experimental interaction detection)),15907474(MI:0018(2 hybrid))	unassigned4,15907474	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,15907474&dopt=DocSum		IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	dlg1	Vang	pp	
FBgn0036786	FBgn0260635	11818065(MI:0096(pull down)),unassigned4(MI:0045(experimental interaction detection))	11818065,unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11818065,unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	skl	th	pp	
FBgn0000618	FBgn0028398	18034162(MI:0006(anti bait coimmunoprecipitation))	18034162	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18034162&dopt=DocSum		MINT-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	e(y)2	Taf10	pp	
FBgn0000250	FBgn0264492	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	cact	CkII?	pp	
FBgn0026317	FBgn0262617	22068330(MI:0007(anti tag coimmunoprecipitation))	22068330	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=22068330&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Tsc1	CG43143	pp	
FBgn0023091	FBgn0027052	15748845(MI:0004(affinity chromatography technology))	15748845	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15748845&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	dimm	CHIP	pp	
FBgn0003975	FBgn0011648	9230443(MI:0686(unspecified method))	9230443	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=9230443&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	vg	Mad	pp	
FBgn0000711	FBgn0030469	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	flw	CG15745	pp	
FBgn0011823	FBgn0262743	unassigned4(MI:0045(experimental interaction detection)),9406612(MI:0686(unspecified method))	unassigned4,9406612	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,9406612&dopt=DocSum		IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	Pen	Fs(2)Ket	pp	
FBgn0004419	FBgn0015218	14723848(MI:0019(coimmunoprecipitation))	14723848	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14723848&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	me31B	eIF-4E	pp	
FBgn0035461	FBgn0250843	21529711(MI:0007(anti tag coimmunoprecipitation))	21529711	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21529711&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	ntc	Pros35	pp	
FBgn0053113	FBgn0053113	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Rtnl1	Rtnl1	pp	
FBgn0000259	FBgn0264492	unassigned4(MI:0045(experimental interaction detection)),11208814(MI:0018(2 hybrid)),12379220(MI:0018(2 hybrid))	unassigned4,11208814,12379220	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4,11208814,12379220&dopt=DocSum		IntAct-24-JAN-13,BIND-24-JAN-13	04-FEB-13	2013_02	CkII?	CkII?	pp	
FBgn0001148	FBgn0001269	9165116(MI:0686(unspecified method))	9165116	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=9165116&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	gsb	inv	pp	
FBgn0020388	FBgn0037555	18034162(MI:0006(anti bait coimmunoprecipitation)),12482983(MI:0004(affinity chromatography technology),MI:0028(cosedimentation in solution),MI:0071(molecular sieving),MI:0006(anti bait coimmunoprecipitation),MI:0018(two hybrid))	18034162,12482983	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18034162,12482983&dopt=DocSum		MINT-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	Pcaf	Ada2b	pp	
FBgn0000635	FBgn0038108	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Fas2	CG7518	pp	
FBgn0014861	FBgn0025815	11726693(MI:0006(anti bait coimmunoprecipitation),MI:0030(cross-linking study)),14681455(MI:0364(inferred by curator))	11726693,14681455	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=11726693,14681455&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	Mcm2	Mcm6	pp	
