FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	C_LEU	C_LACZ	C_SUM	MATRIX	IST	MATRIX_DETECTIONS	ISTS_RFCS	DATA_VERSION	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0039044	FBgn0035397	18	19	52	54	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG11486	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0035641	18	19	43	43	Finley lab: Cell cycle baits	15575970	14-JUN-04	3	0	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG5568	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0037944	18	19	10	10	Finley lab: Cell cycle baits	15575970	14-JUN-04	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG6923	pp	MI:0727 (yeast two-hybrid)
FBgn0039052	FBgn0003423	1	2	1	1	Test of random pairs 9_2006	19079254	02-JUL-08	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG6733	slgA	pp	MI:0727 (yeast two-hybrid)
FBgn0039128	FBgn0030614	2	2	2	3	Finley Lab: Random baits 2425	14613974	17-NOV-03	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG13599	CG9072	pp	MI:0727 (yeast two-hybrid)
FBgn0039128	FBgn0039348	2	2	21	21	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	0	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG13599	Npl4	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0015282	11	17	8	27	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	1	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	Pros26.4	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0015283	11	17	8	14	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	2	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	Pros54	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0028577	11	17	14	20	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	1	2	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	pUf68	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0000283	62	66	1	1	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	1	4	Yes	No	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Cp190	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0000964	62	66	17	17	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	tj	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0001148	62	66	5	5	Finley Lab: Random baits 2425	14613974	17-NOV-03	1	2	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	gsb	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0002561	62	66	1	1	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	l(1)sc	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0003980	62	66	19	19	Finley Lab: Random baits 2425	14613974	17-NOV-03	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Vm26Ab	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0005655	62	66	23	36	Finley Lab: Random baits 2425	14613974	17-NOV-03	0	2	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	mus209	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0010607	62	66	4	9	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	4	7	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	l(2)05714	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0015270	62	66	2	2	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Orc2	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0016036	62	66	10	10	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	mei-P22	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0020620	62	66	3	3	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	4	7	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	RN-tre	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0262872	62	66	1	1	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	milt	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0024975	62	66	9	9	Finley Lab: Random baits 2425	14613974	17-NOV-03	2	0	2	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG2712	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0025558	62	66	4	4	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG4101	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0025781	62	66	9	9	Finley Lab: Random baits 2425	14613974	17-NOV-03	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	cdc16	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0026400	62	66	2	7	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	2	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Noa36	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0027546	62	66	3	3	Finley Lab: Random baits 2425	14613974	17-NOV-03	1	1	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG4766	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0027788	62	66	2	2	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Hey	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0028371	62	66	2	3	Finley Lab: Random baits 2425	14613974	17-NOV-03	0	3	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	jbug	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0259896	62	66	8	8	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	nimC1	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0029755	62	66	8	8	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Sas10	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0030278	62	66	5	5	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	2	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG15200	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0030929	62	66	31	31	Finley Lab: Random baits 2425	14613974	17-NOV-03	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG15043	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0032049	62	66	4	4	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	0	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Bace	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0032455	62	66	11	19	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG5792	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0032741	62	66	9	9	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	4	7	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Side	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0033569	62	66	2	2	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	0	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG12942	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0033631	62	66	42	42	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	3	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	Sod3	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0034425	62	66	9	11	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	2	5	No	Yes	0	2	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	CG11906	pp	MI:0727 (yeast two-hybrid)
